event,total_occurrences,unique_users
favorite_school_from_listFavorites,640,2
remove_favorite_school_from_listFavorites,536,2
map_filter_click,132,1
map_filter_apply,92,1
click_school_pin,78,7
menu_favorites,58,2
remove_favorite_school_from_list,44,5
open_school_profile,44,5
map_filter_PERFORMANCE_5,40,1
close_school_profile,40,4
login,38,7
click_dashboard_menu,36,2
map_grade_click,34,3
map_filter_MULTIMEDIA_4,28,1
map_filter_DISTANCE_1,28,1
map_filter_DISTANCE_4,24,1
outside_close_school_profile,24,3
menu_explore,24,2
map_filter_PERFORMANCE_3,20,1
map_filter_PERFORMANCE_2,20,1
map_filter_DISTANCE_3,20,1
map_filter_DISTANCE_2,20,1
map_location_click,18,2
map_filter_PERFORMANCE_4,16,1
map_filter_HAS_VACANCIES_2025,16,1
map_filter_MULTIMEDIA_2,12,1
map_filter_HAS_VACANCIES_2026,12,1
map_filter_MULTIMEDIA_1,12,1
map_filter_HAS_VACANCIES_2027,8,1
favorite_school_from_list,8,2
sp_school_price,8,2
map_filter_clean,8,1
sp_school_leadership,4,1
sp_school_teachers,4,1
sp_school_students,4,1
sp_school_sports,4,1
sp_school_performance,4,1
sp_school_infrastructure,4,1
sp_school_languages,4,1
sp_school_extracurriculars,4,1
map_filter_AGREEMENTS_1,4,1
click_school_list_show_digital_profile,4,1
map_filter_AGREEMENTS_2,4,1
sp_school_vacancy,4,1
